Título,Estructura de la generación por tecnologías_01-01-2026_08-01-2026,,,,,,,
Sistema eléctrico,Nacional,,,,,,,
Magnitudes,GWh,,,,,,,
 ,,,,,,,,
Fecha,01/01/2026,02/01/2026,03/01/2026,04/01/2026,05/01/2026,06/01/2026,07/01/2026,08/01/2026
Hidráulica,"73,07889999999999","98,54360000000001","92,5126","57,9988","83,539","70,51289999999999","113,4985","88,4863"
Nuclear,"169,98829999999998","169,9614","170,0214","170,0854","170,1124","170,0819","170,0411","169,98420000000002"
Carbón,"-0,072","-0,093","-0,096","-0,108","-0,105","-0,108","-0,072","-0,11"
Motores diésel,"6,007781","6,299142","6,455246","6,559339","7,012578","5,663098","6,457129","7,55206"
Turbina de gas,"1,67059","1,015657","0,977178","1,474465","1,0305440000000001","0,934443","1,220666","1,7512940000000001"
Turbina de vapor,"8,48996","9,993358","10,106154","8,669214","8,97035","7,670699","8,742689","9,143977000000001"
Ciclo combinado,"139,98282","136,34690799999998","139,086493","106,350026","124,848609","110,213081","175,791386","114,828068"
Eólica,"97,89268700000001","128,533764","137,56200099999998","330,09452000000005","261,515561","283,852237","272,569462","381,389174"
Solar fotovoltaica,"48,020275","45,848551","39,078900999999995","44,265651","73,719459","111,935073","86,101625","94,10839"
Solar térmica,"0,371227","0,184743","0,233459","0,072697","1,184469","5,675477","1,764152","2,7765"
Otras renovables,"10,628152","10,878551999999999","11,363652","11,493152","10,857752","10,898752","11,214452","11,835252"
Cogeneración,"33,5163","41,0429","43,534099999999995","42,1439","43,0539","38,1689","45,9809","47,3716"
Residuos no renovables,"3,26425","3,3015","3,279","3,0018000000000002","3,29745","3,6639","3,62259","3,59685"
Residuos renovables,"2,5778499999999998","2,5703","2,6154","2,3455","2,46445","2,4491","2,65509","2,4886500000000003"
Generación total,"595,4170919999999","654,4273750000001","656,7295839999999","784,446464","791,5015219999999","821,6115599999999","899,587741","935,202315"
 ,,,,,,,,
Notas,,,,,,,,
 ,Los datos no incluyen la energía generada estimada por las instalaciones de autoconsumo.,,,,,,,
 ,,,,,,,,
Estados,,,,,,,,
 ,Programa: 01/01/2026 - 07/01/2026,,,,,,,
 ,undefined: 08/01/2026 - 08/01/2026,,,,,,,
 ,,,,,,,,
Fecha exportación,08/01/2026 - 20:13:00,,,,,,,
 ,,,,,,,,
Fuente,www.ree.es,,,,,,,
